ENSEMBL
ENSMUSG00000024028
ENSMUSG00000024682
ENSMUSG00000017723
ENSMUSG00000052271
ENSMUSG00000005553
ENSMUSG00000031449
ENSMUSG00000042784
ENSMUSG00000062778
ENSMUSG00000037974
