GENE,ENSEMBL
tff2,ENSMUSG00000024028
gif,ENSMUSG00000024682
wfdc2,ENSMUSG00000017723
mist1,ENSMUSG00000052271
atp4a,ENSMUSG00000005553
atp4b,ENSMUSG00000031449
muc1,ENSMUSG00000042784
chia1,ENSMUSG00000062778
muc5ac,ENSMUSG00000037974
