GENE,ENSEMBL
bax,ENSMUSG00000003873
bok,ENSMUSG00000026278
bad,ENSMUSG00000024959
tradd,ENSMUSG00000031887
bcl2l13,ENSMUSG00000009112
bcl9l,ENSMUSG00000063382
